sku,product_name,category,subcategory,unit_price,cost_price,weight_kg,created_date,is_active
SKU-001,Wireless Mouse,Electronics,Peripherals,29.99,12.50,0.15,2023-01-10,1
SKU-002,Mechanical Keyboard,Electronics,Peripherals,89.99,42.00,0.85,2023-01-10,1
SKU-003,USB-C Hub 7-Port,Electronics,Accessories,49.99,22.00,0.20,2023-02-15,1
SKU-004,27" 4K Monitor,Electronics,Displays,449.99,285.00,6.50,2023-02-15,1
SKU-005,Laptop Stand,Office,Furniture,39.99,15.00,1.20,2023-03-01,1
SKU-006,Ergonomic Chair,Office,Furniture,599.99,310.00,18.00,2023-03-01,1
SKU-007,Standing Desk Mat,Office,Accessories,34.99,14.00,1.80,2023-04-10,1
SKU-008,Webcam HD 1080p,Electronics,Peripherals,69.99,28.00,0.12,2023-04-10,1
SKU-009,Noise-Cancel Headphones,Electronics,Audio,199.99,95.00,0.30,2023-05-20,1
SKU-010,Desk Lamp LED,Office,Lighting,44.99,18.00,1.10,2023-05-20,1
SKU-011,Cable Management Kit,Office,Accessories,19.99,6.50,0.40,2023-06-15,1
SKU-012,Portable SSD 1TB,Electronics,Storage,109.99,65.00,0.05,2023-06-15,1
SKU-013,Whiteboard 36x24,Office,Supplies,54.99,22.00,3.20,2023-07-01,1
SKU-014,Webcam 4K Pro,Electronics,Peripherals,149.99,72.00,0.18,2023-08-01,1
SKU-015,Bluetooth Speaker,Electronics,Audio,79.99,35.00,0.55,2023-08-01,1
SKU-016,Old USB Hub 4-Port,Electronics,Accessories,24.99,10.00,0.12,2022-03-01,0
